perfil_seguidores1,numero_seguidores1
josephlfsilva,1378
euemily.pxt,4022
tamiresrubia,2158
estersms2,1108
aaligajuridica,2310
uranusstore_,17
ferreira_manuelaa,41
happen.sunset,202
luizjapa_,1034
elaine.campos1006,2172
sheramos03,1141
cristianereginaono,113
vivicsi,1339
kethellencs,2329
julia.adefonso,1734
eubrunasiqueira,1928
passeiosdebaloes,743
carol_fviana,206
douglas.nunesofc,436
barbeariadojohny_,3307
clubedobalaoboituva,6251
eduardodealmeidaduraes,28
larissafernandes19,8757
ideiaseideaisdemolay,2649
fledison,1627
mariiiduran,1605
cesarrs,2832
w.rodrigook,583
use_primeiramente,5367
ternostardioli,5027
luanamoura____,39080
salleesdix,60
_mopachec0,3861
fun_burguer,1054
dri_arc,311
aneismaconicosinport,2911
wabmodamr,13292
otica.bruno,1786
tabacariacantareira,895
photographerthunder,4470
aguiarariane,234
bfcell,1642
rodrigo.oliveira82,448
william_alves2468,448
gihmarquesm,1556
unifattostore,1223
ketyamamoto,1949
stoccothays,900
maarreiis,668
biaprof,1318
maumaumoraes,857
carolmeire_,4432
eodemetrio,1938
brunelladelicias,332
deborahfreitas00,570
flotufo,2716
felipemusha,384
cesarmilanicmi,383
antunes.suellen,654
gabimena_,2403
bora.lava.oficial,7706
thaii_campos,1214
geovannaaraujo52,1956
sneakersdreamersbr,2010
gringo1540,94
liratattooblack,8925
stephanisantos_,2214
poolezell,5318
rudson_borges_irb,16515
vinirocca,518
marconderassss,1646
riizzooo,1983
deebycruz,3980
aklaau,1080
mrvmarcus,564
fb011_,862
veiodozapp,156
b_camila,469
marisalles__,918
thaina.duda,1240
roselizanni,166
jeeparizotto,2281
laisaisadora,2109
guilhermeamauri,431
taaycastilho,875
steffany_santos97,8048
vivian_spinolla,1136
amazondandies,224
iris_caruso_br,929
__littlemermaid__,618
phelipepretinho,1777
xavesechikinha,1056
kawany_costa1,249
thiagoqueiroz2021,57
demolayriodejaneiro,1231
onixviagens,805
kleber_dcastro,162
decoralo.oficial,445
glau.lupi,493
raffaelfferreira,10028
acrauniverse,13027
maracassiolato,449
