perfil_seguidores1,numero_seguidores1
jacquelinesantiagolima,912
adrielly_sierra,730
marcia.mahsantos,150
datennabarber,1403
oficialdonfernando,11405
luana_sarkis,1085
allanaknoeller,688
dayanne.albuquerque36,2752
vaptvuptrestaurante,135
cris_pperes,215
paulo.carvalho1405,100
claudiasigemi,404
adri_silvac,1967
_mopachecoz,2565
charutaria_carioca,0
sergiomonteiro51,105
lets_saraiva,2135
keilamacedoo_,12518
sopraiasp,1263
ericamessias92,3201
institutoinfanciaazul,10207
iancaaa__,442
elton.ponde,2396
jurigatto.beauty,1225
fatordecorar,2271
clinicasonoprime,1306
ro_ribeirosts,496
cigarsrj,1298
kleberaugustodec,110
atelie.dasuh,2168
thaiscarolineee,117
__12.6k__ls,10583
lilliansamaral,1497
_anap_costa,1725
thalitataliane,9116
nossoacai_91,417
compumastersurubim,1612
31regiaosp,1012
rigolon_advogado,483
parreira_mat,1900
21regiaosp,275
feh_choco,1566
charutos_puros_cigars,0
the777fashion,164
juh.mello2,1279
mviih.on,3259
biancalunardi_,1015
jeffersonlourenco65,397
coifasmais,2618
danielemacbastos,1491
raphael.rocha.184,221
thaiscarolineep,832
dl.imports.oficial,98664
tbaridm,380
adaspalumni,925
carlaadrielli,830
adegadoduhzao,495
_valverdeisabella,2652
sophia_cordeiro_,657
rayly_03,2353
fox_capitalll,420
to.camasmie,1870
calabriasfood,269
profanonegroni,877
s4corretora,1009
alinesdanttas,1940
mbsbrandbrasil,1868
taiparaizo,1154
esteban_vip_eventos,4640
mozasantana18,181
di_india,828
cacaulopesss_,1302
biasousa801,1179
kaa__sg,817
moriathinvest,1066
palmeiramilgrau1914,1511
eusuzylima,45857
closewear,4020
alinegsd,1029
usermanero,1353
layssuares,5885
leo.novarro,323
dangiustimarinho,7634
aquarelas_clothes,245
onda_verde_guanambi,650
brotherhood_sl,3213
_pedrocarvalho_20,107
guayabera.br,424
deb.dourado,690
freittasvan,356
sandraminharo,323
elaine.cmartins,294
lepatronofc,1137
belliny_13,29362
fessilverio,4322
pedrovascobr_,15365
dratatianekremer,3060
lariissaluz_,2861
romanellicostaseguros,434
brunasgarciiiaaa,988
palomacossero,901
natycarvalho39,2303
rooh_mahcedo,1107
phmanzoni,327
hederderito,957
maylicciardi,308
felipe.rizk,148
glaustore,1511
lilianjacintho,548
roseriolao,829
pamela_loraynne,1573
flora.ogum.de.ronda,68
danielagiustimarinho,1004
bmztriangulo,33049
vivendo_em_grandes_luzes,1323
iagohper,853
mari.neitzel,901
caetanotransporte,2264
vinicassiolato,511
vanessa.mineirinha,1542
tabacariastore,227
kenynhadepaula,269
eduardomiranda9429,221
henrickyudji,314
cabocloguaira,3099
amigosdocharuto,1261
simplificalei,619
sudoestecomunicacaovisual,1030
lhm.0019,832
gui_delphi,842
carmin.musachi,893
quarentena.solidariazn,190
claudio_icizo,992
adegaloscopao,849
denise.noriss,819
vanjvl,2028
vendedordigital.on,37
katrinyborges,3572
cissags,1321
diegoscatini,217
vicentehonorio,303
perigoheitor,795
agenciafeeldigital,3761
eubrunalucena,20173
feh_vago,519
coelho_everton,3989
chapa.gabinetedf,248
naholiv3ira,4515
sssasa_coasssin,839
principiosdemolay,1825
fmayararibeiro,596
lihmaltaa,828
wafidergham,222
eaebe_,1460
juostan,1120
gabrielcastrooliveirabragis,330
anaoliveiramartinss,1723
flametabacaria,2866
gabi_marcolongo,957
_caahandrade,1782
dooug.rodrigues,363
kaykempreendedor,1108
gaaabirossini,3107
anna_013m,729
guui_vicente,1207
thamyassuncao,1135
oliveiradebby,11978
boutique_ndg,1409
brunellavalcarce,214
chris.ronqui,694
nick.doog_,15
marketzer_shop,493
fraan_cavalcante,1630
gaabispaes,1785
martinsvivianerosa,442
carolineguerreroc,408
crimedan_,746
victorpignataro,656
andressapedace14,568
luiza.talmelli,572
rafael_buonora,1228
jhee.oliveeira,261
psicologareginabeatriz,452
barbaramahana,1433
llarissaaoliveiraa,938
pmlqrz,713
kingburgersp,2720
kaasilvan,522
novo_tratamento_intensivo,87
nunesthaiani,259
ps.cruz,607
_lourdescoimbra,60
carolbonvicini,255
galvesdepaula,1687
allinemel,2254
rufinoradix,231
carolpulizzi,694
tammy.paulino,1588
baba_junior_de_ode,0
jehmarila,1721
cigana.da.lua,3280
wendelhora,517
ten_coronel_helio_6baep,8613
leda.sani,76
dianapaulinoal,195
sonomax.cpap,3627
forex_trader.scott,1067
caalameda,2093
igorleandros,908
maisa_oliveeira,638
patrickmorrissey_,452
dradeboradiaspereira,1472
tatah.nascimento,864
draalessandraalves,137
haaaii.es,2007
dra.carolinamacedo,5566
fernandafavettiflores,1228
fraternidadeenegocios33,1220
rifonsecaa,710
luu_chiarella,1884
oliveiratercila,775
caanunciato,1968
zuntazpt,1411
morbiolo_r,123
carna_na_tagua,71
douglascarvalho92,588
thainabottoni,1143
candy_liberdade,195
leticiapiasecki,1077
paam_nay,6899
whybru_,6379
amarosmarcio,311
isabellybueno_,996
lary_romer,1022
jornaloretrato,2093
lagulfier,814
gicaaborges,936
go.wa5hing7on,552
aninha_per08,1947
silvana.r17,2964
yagomzto,498
dehvc,1009
deliciesse,181
claudiney_lemos,308
_lucasgago,3739
giuliana.psico,558
thiagorapsys,5547
victoriaaxav,3796
bordobjj,1640
jenniauler,1037
vitaoo_87,780
leosoaresdasilva,708
planejamentosfinanceiros,299
jaqueeeelyne,1717
joy_grando,396
romaoficial_,2535
gianeletricatesla,421
gabriel.souzacarvalho,158
rafaela.estevam19,676
gabiidambrosio,1696
turkuazclinicaespa,2285
norciarquitetura,3548
vagnermsr_,109
direito.d_,705
cabiotto,2309
renata_helo16,1579
carolpaz_,13735
semusosemuso_,8
erikk.ferraz23,997
tinin_icee,652
depeducacional2,607
joaoheriquesouza,92
biasenzi,1075
thamiresabissi,2656
cassiacarlis,693
tatianasgrinier,551
tathy_luiza,422
gg_barber_shop,212
carlitabueno,515
leonor_lutz,1008
empreendoramabr,739
alecoiado,419
almaanycorretora,3931
elisiane.flores,1351
alveserikaa,1827
_thalitacristina,939
jovensmilionariosoficial,1235
fernabrlima,770
bruninhabunitinha,2298
jhowfacanha,5739
marcelooliveira914,106
alanascarin_,7
alanis_coimbra,256
kenyalimacorretoradeseguros,196
giuliapicarelli,2948
vanessavamvam,1483
jhullyzynha,1519
paulosergio_rossi,145
gabypoiati,3629
kassiaf15,624
seucabideoficial,859
casabrancadeoxala.oficial,2360
wa5hing7on,972
lirisfe,1221
rogerrioanabike,159
juanvictor242,160
carmen_vivi_,565
rafaalinhares,1018
fernandodossantospires,152
staflor_oficial,1146
muriloflores2,253
pedrorodriguesosteopatia,793
eu.eliof,994
giissani,1298
murilocastro23,5251
medplastichospital,17416
crismonsi,1078
kenniaamaral370,639
2b_borgesbordados,860
vr.jersey,336
instcurumim,2312
bssport93,53
lcs_bomfim,525
ferreiraluiza7_,14
llacerda08,607
crisoliver01,1114
mauriciosanturian,209
thiagomascalchi,990
carol.batistati,548
miguelferreira721,14
rodrigodavyd,1133
amaral_claudio,1188
paulinhosantosjr,21801
adv_sidiclei_almeida,578
arlsrecife,1293
rosianepancieri,600
santossilvajonas.com.br,1419
izabel.duarte,443
jeambrosio_,2009
villa.texas,1602
michelle_otene,6668
advocacia_juridica,203
goulartcosmetic,2323
laryssa_giannini,2764
natacao.direito.fmu,287
caabipiau,1124
candy.liberdade,92
lehh_salustiano,209
tributarieoficial,4178
tevinoforum,173
djfelipemathias,776
rafaelbasstos,1038
g_veronesi,1366
_fefernandess,1184
lucasluro,843
williamccarvalho,588
veloso_adv,1240
vitorfontana_,1377
_aguiarle,1018
lalasilva_,1800
kaaahsilva,828
_juliatoledo_,1996
lorettomodas,2767
nobrulima,193
tavaresmagneticos,1450
rafael.daveiga,15033
realizasolucoesfinanceiras,80
bioquanticomga,297
nandaalmeida017,463
alexandrepaulodejesus,939
maatheeusaraujo,517
marinaaidar,1181
celi_mialich,520
romeudaabyara,147
umais_oficial,5178
kojibo1974,583
mercadopago_minimaquina,709
albertomerletti,1218
pvcfilho,491
_sophiapedroso,2606
tomadamatheus,585
rendaextra.definitiva,71
hugo_souza69,256
augustinho8,2703
jp_personalizados5,68
aleksandra_chazan,396
lhalencar,1120
karinebonfimsoares,1417
easylaw_,334
tatymathias,886
jhowjho,479
masaki_japones_ipiranga,3882
luluauler,4488
vinipauloo,2247
_viioliveiraa_,1403
marcylabel,32506
carweekbrasil,6527
ale_sronchi,816
joelmadasilva.araujo,506
cartoriopostaloficial,1331
karina.caxeta,421
dix.biona,64
fedavidoff,22483
mauriciozambotto,1083
russo.stephanie,4741
tamy_marinho,1201
i9ingressoss,1797
karolspadaccini,923
dougbellini,249
c4rol__,599
sandroluiz.umbanda,114011
gupanfietti,1634
justanotherfan_girl14,256
danyelle_vieira,335
evellytidei,1885
marciagabrielpessoa,104
tcclizando,1235
joaosani,331
recbboletos,6295
arte.bolo.caseiro,50
jorgemorillas,19998
alexandrejacob_,649
vi_liiz,727
bruna.paina,1111
cesaralexandre48,123
caaa_goncalvez,2205
paodemeldamina,2006
jessicafsousa,959
ipcm_mediacao,1943
compliance_news,3725
_johnodog,161
ofclacerda,803
isaarastica,2059
pameelards,1130
paty_sibravinho,447
gipurgato,2835
claudiabalduini,622
annap_faria,2128
torressecretariado,3816
eloisemaciel_,3866
araujo_ronaldo1,719
fesawada,722
danielascouter1,574
boteco_sao_joaquim,83
renatinho.psl,1656
gabi.monique_,2410
viinii.borges,368
jujutonelli_,2072
alicio.petiz,1522
rafavoltolin,501
danymaffei,1202
mafortunato,1972
bueno_bruu,1592
ainoamayaa,1408
3r_informatica,201
_julianasvieira,696
castrokleberaugustode,356
joeattia,606
pucci.vanessa,426
pegadesapegasp,1335
giovanna_alves0203,866
barbarawanderley1234,1954
danigeenova,1206
josietemedeiros,137
heyolivera,557
corretorathais.schroll,652
ana_carvalhol,1519
behsillva,1237
valquiriakehdi,335
orthosodonto,1296
silabelezaeciaa,1008
b1riba,55
eds_bar27,92
vanessaburkuss,533
satuguita,46
clarissa_tauk,2163
ciadapizzacco,6016
ale.sanii,1617
aidarfagundesadvogados,251
brudhuf,1186
loiraalinerp_1910,950
b.eatrizsilva,1750
kauana_emylyn,794
jobs_universitarios,81
eudanco,56
rd_grifesoficial,22966
direito_meu_foco,136
lmgseguros,210
tamires_1914,2436
caaiioviniicius,656
pratafavorita,3621
dani_campioni,1805
scobarsec,278
voceecurioso,244
ricardo.dalencar,250
renettaconroy26,508
aletamantini,503
reginaalvarwa,246
kleberaugustode,130
paulina.pamela,119
pizzamaniachapeco,6554
sidineipanis,14331
direito_e_pesquisa,608
dinilds,1052
horacontabilidade,80
dphone_2017,30245
paigabriellandim,861
sheila.148,167
gabi.bedoni,746
simonebolis88,2553
victorvr_miranda,697
natanyribeirogoncalves,768
gabrielealvares,3952
euviavi,479
secretlovesp,450
tylerdundert,449
rafaelc_artes,1281
harduwer,15
llemathias,1528
jeniffer_scouter1,261
andree._silvaa,914
carool_franco,576
carloseduardo_dacosta,296
jubsfada,441
curcio.espetos,1259
gabiraamos,1298
naathferraz,1823
supriarteimportadora,748
dandradealves,1233
imponentestore,1338
amandaravinis,2398
lucas.stocco,1381
jorgeaguiller,16795
statuscompanysp,63998
biiaogawa,1437
fehcrepaldi,296
comissaoscar,1050
sanborgesescorcio,189
caiooteiixeira,1585
cleiton_santos2103,349
taiis.castro,611
chimerasays,806
garota_beautifull,237
lalo.lacoma,1062
le.palmieri,407
leon_ando,417
eumaaluz,1472
lari.lekich,2120
jeronimofeitosa,0
dodobarbosa,1146
giantonialli,3243
sergio_chaves_oliveira,8017
feelipe_jose,0
cadias_vendas,374
desativado_101297,1789
bii_dealmeida,1518
isabelasegura,2744
_renanfabri,1045
bruunosales_,0
leonietoo,1716
digonzalees,1330
hideout.sp,482
gmagosse_,882
jehp_campos,0
bruno.picolo.1,363
caiosoglio,1096
ahmadiskandar_,163
rayssaalvarazi,355
joao.cae1,173
boibebum,431
domingosmbalane57,0
mayara._,2283
larissa_paulina,164
larissapaulinasn,209
jacquelinebaria,1953
gustavob_pires,900
alealmeida78,592
tiorenatopaschoal,1003
locutordiegodias,1130
rose.takara,1082
gisafisio1,0
oficialfilhosdoaxe,33839
futsaldoamor,560
multimarcaszenia,68
thayssantos132,1282
ci_gulli,333
silvaresedu,0
pedroduarteoficiall,1541
elianna_aoliveira,1221
itaoliveira26,284
peres_capucho,250
vitorscavar,65
alafdejesus,561
gabipiazzaa,9652
_mundomilitar,2382
santanna2510,28
rodrigueztuu,1507
glessa2,1304
jair.j.junior,465
_brechodasminas,162
clausantos1,330
pullstarstore,48
jason16_13,9193
leti_mello,622
_tayrosa,1775
elizeamiranda,287
felipeoliveira03,271
martaavoletta,427
moogontijo,1622
vpironnet,1236
_al.fb,502
gaabaleixo,1073
rama_ronin,1572
brendacavalcanti15,7
13_regiaosp,229
leonardobrull,2144
alannovaes_,1014
luhborba,696
o_rafalmeida,1650
na_silvasantos,365
renan.rodriguess,2005
barbeariatalentos,233
will_bsjr,1005
caio_vidal_,359
samantaraujo,847
a.lucchi_,1924
pulsatiltreinamentofisico,472
chrislopess,4450
loretapalmieri,110
sc.larimav,1779
v.salatini,847
yuriravara,1529
thais_jaraujo,444
gustavoferreira5346,374
jardielly_viana,229
stakesmtr,760
andreizaneti,292
brunolourencin,695
luizinho_savoia,453
thiipsouza,2743
francielikosczinski,2519
lariorodrigues,1668
ncandidoliver,1075
sheiladiaferia,50
rodolfo.f.melo,1028
juniorzangarini,774
vanessaburkus,1348
karen.silva24,2192
rute_b_miranda,1013
jriderito,378
jaquesuppi,264
corrieviciei,618
bruna6877,1317
cilla_schiestl,274
personalfighterph,1748
atortorellibru,1254
carolinaperrotta_,1785
viniciusmastropietro,1274
claricioliveira_,1485
brunosantana90,352
rock_girls_russia,14461
feelazarini,896
biaatebet,860
itswaal,482
mpereiraimoveis,115
_caio_rocha,278
baheckler,3978
marcuccicarla,367
thainangrecco,2297
_ateliedasgordices,416
carina_lacerda61,266
cidaah_moura,697
ana_pampolini,653
fabiolevi5277,114
fjrdemolay,1877
platina__lucas,1000
_rafaelabonini,2758
gabriel.campagnoli,1190
f.andrade25,344
ingra_lhp1969,1926
jpdefgomes,2034
santabaguncaoficial,712
insta_top201,187
tavola_6,206
leo_bevilaqua,384
thaistainails,722
sementesdoamanha,2141
ph_1993,1378
thaisgalan,268
will.silvaa,561
delicatelymodaintima,1008
supertattoo_russia,10183
abosadvogados,1504
fehcosta43,2498
scaramussajuliana,1092
bortoli_nutri,534
fernandoaffonsodacosta,240
sojafilmes,1402
advogane,871
_pablodias,1119
tubakiluis,1016
brunofgfreitas,378
bia.roso,643
vick_designer,3519
basquetefem_direitofmu,234
thayssa_macedo,3970
patriciabatista06,68
futsalfemdireitofmu,1332
maryamkhalil_,848
nathycolalilo,2565
andressapalermoo,1778
lurdinha.rodrigues.9,1025
92_pamella,715
eduwesley,573
pamellanathallya,107
bioagape,988
15_leandro_09,560
suelen_steffany,821
vivi_loirinhah,541
jaderbortolazzo,506
97vanderlei,650
laismonari,1503
luscagentil,783
cleto_cordeiro,236
annynhapunk,312
vicanicius,389
alvessantosrodrigo,319
thaiiscristiinee,213
bruukramer,1097
discretasexyshop,80
lira_quel,215
fernandosantospires,876
alanvitorstudio,678
alanamms,1055
baresbaladasfestassp,1118
felippe_mendonca,3137
lyli_naildesigner,1673
vinicius_biage,912
santos_assuncao,960
thalita9949,621
_bpacheco,2768
slameda,366
calumnieh,54
fernandobariani,449
verafloriani,986
vitoriaqueijalvar,2361
talentos_acessorios,139
ilzamatsunaga123,138
antoniopereiraaaaa,1137
2bborgesbordados,505
perfumariadesiree,2862
neguinhodamooca,136
miichel_ayrton,474
eugenia.borges,636
caroline_serretiello,438
teatro_sotero_e_cia,59
fabioalgaves,557
ceudointerior,15
walter_kaltenbach,1579
ellengiovanna.sp,464
allanrovai,432
fcalmeida10,875
junilsen,616
gabsjesuino,691
pluanna_15,789
_negajoy,769
barbara.s.o,589
pedronicolettioficial,754
brunno_calabria,957
capitulopiracicaba1058,708
brunayessagency,504
tati_frazao,1945
alineberbert,2066
gso554,456
evellyn_quesia,29478
satto.aline,1482
litoralvale,1068
perolacristie,234
danilolare,1498
brunarues,1521
thays__cabral,870
rafacarosio,904
keke_fashion_hair,972
1_regiao_demolaysp,440
talitadearaujovictoriano,287
simoes.dinha,921
edmarjuniorsouzadavid,143
ebuscarati,177
natiicamargo,1207
dudao_nascimento_oficial,2546
juliana_melloferreira,790
valdecigoncalvessimoes,80
lorainefidelis,1294
marciitus,552
franzmnetto,849
marcio.roberto_,642
kaah_pelegrini_,1134
albertorogger,376
lucianorio,1095
paulinhameloni,1095
gabiviiiana,3118
vaanessaxaviier,937
nanda_agathafernandes,1840
adriana.cristina.silva,1042
handfemdireitofmu,820
cpqsrp,335
andressamancha,1829
elisaneves12,918
donnabarbaoficial,2704
marcelorezende33,1090
academiafitclubsaodomingos,798
cabelocorte,134
_dileonardo,1281
kauangomesdm,1294
carol.graziano,3372
habanerobar,21590
mauriciomontemor,1502
alanascarin,3020
_bruuniinhaasilveira,137
maiicavalcante,1170
larysgoncalves_,1936
lootus.store_,40
anny.teixeira.1995,893
kanfernandes,667
maypuchetti,1106
_cards2,936
alanvitor1990,886
camila.cvl,11176
jeanleonis,1195
cansadozzz,150
vi.tre,841
andressafalchiii,679
saavasconcellos,1065
glaucotolotto,399
ba_linss,1142
mariferreira8091,106
mahdomiciano,2378
thirn011,724
leticiarussogallo,1407
carlosdelfeu,106
naatsilverio,1480
capsjrp34,905
dgo.sanchez,2940
carolrspaz,833
correa01rodrigo,623
vi1nee._,84
dam9448,35
juninho_jcr,1411
fegodoy_l,4714
kah.2015,277
analaurentis,280
sayyesfilmes,66
alanis.coimbra,1864
fernando1914_,327
thais_s_melo,680
carlalorena33,249
beatrizc_araujo,863
cristina_pperes,137
alessandra_lika,44
tovidesing,203
evelyn_cavalcante_,928
kleberaugustodecastro,187
blum_1999,886
renovaesteticaspa,198
radbel_lima,899
deby_frederico,1363
eliane_fernandes_dias,380
simonedalessi,591
elissmeirabggmbllc,382
clairvaux86,245
consultoreshinode__,247
carlaluana6984,393
g419louis,585
luizasameitat,3176
karenramossi,2210
a.aguilella,715
jurigatto,2195
_isadoraasf,1063
camila_alvares_,390
viictor.fernandees,905
helder_sanglard,833
negod_2,268
fesandri11,501
caadiiaass,1870
sonnac698,128
binhofa,696
tata_bortoli,349
leandroviegass,1053
peopleleste,208
isabelaofc_,3271
willianmancha,791
tattogirls.s,400
mctoshiba_,419
lelekoassis,895
barca_henrique,416
rodrigodelaacruz,574
torres_torres_to,229
silviobarbaecabelo,791
eliventon8,2053
florianigiovanna,1255
giovanneguerra,330
camilapereti,860
fuck_gringa,855
andreia_bastos_edduda,131
vinicius_smiguel,415
barrosglaucinha,1724
nadiafarinelli,2586
passos.jess,1918
rodrigobabichack,301
thomazziny,818
_morenaof,3804
nocciolachef,1247
lariissaluuz,27570
hugo_bugado,70
leo_mosca,512
andre.goncalves.penna,629
adrianosilvaof12,1153
o_victor_reis,225
personalloiranegre,2655
aldaisantos,921
katiallara,902
davimelo_10,59
correanaty,1481
chamillaroots,1554
sr.carlosvinicius,415
pedro.borem,1810
gustavo.henrique___,255
allison_lima99,1091
valthiem,560
brito.bombeiro,3392
pnlaplicada,1372
ariane_lencina,1057
favero_raf,2601
rtw_comunicacao_e_marcenaria,278
elvis_comilao,431
liemelmantovani,564
linguini_cae,1109
alineslima95,1624
dieguinho_mooca,241
gustavosbertelli,1039
caa.mi_la,624
stefanie_agpp,832
ricardotandil,159
luuuh23,2286
luizfnetto33,867
lillygomes_24,1827
bebele_181818,376
tenoriodepaiva,53
jhanapirolo,3290
hugo_mxtz_diix,1753
katiamelo_,1303
vittorio254,543
diogotorrigo,284
fernandessjf,1093
coach_marcelolima,3588
almeipet,396
afayao,1891
lylianeres,1059
isis_borges2,1155
osammysilva,603
flaviamucci,167
pri_suzarte,727
lucas.mcarv,264
frieber_juu,1089
samperizfernandez,677
br_victorcrocco,313
luigdi_diniz,672
tatoomonsters,481
brunoarmani,2294
fcaxeta,333
yuriialgalves,520
adega_gg,14333
sitta_andressa,846
juliana126santos,179
judelfeu,93
mylenexavier,3761
vicanicius15,179
_luantsouza,3198
coimbra_monica,649
caiobaldassi,75
camila_dstv_g,320
william.takara,704
warocha1985,381
roselitakara,204
_femendonca,324
alineemalaquias,524
mi_barroso,2627
patricialopesaraujo,1753
erikacaetanella,439
luanadimasi,6568
mesquita_pam,508
_larissacoimbra,1354
thaina.sep,699
gabsmineo,618
romeumiguelrodrigues,568
e.freitas_freitas,79
_jubsluz,165
caadamata,1444
rafacmoraes,1230
vulgo_japa,389
lu._lua,139
camilinhaloira,515
jamillinunes,1307
felipe_varanda,632
cap299,748
dantassilva.c,174
mitose56,18
rododuarte25,2212
l_xfs,328
boutique_coracaofeminino,1693
_alana.marttins,418
mauro.lumasini.342,495
marckgrechi,2022
januzzicursos,42715
lucascb2000,50
escorciosandra,180
matheus_lcrodrigues,932
baronejuh,1020
analoira37,271
monicat1940,142
thaisindinha,920
elisangela_de_castro,950
universogafieira,2451
betilinha,586
deusnaparada,591
pvcabianca1,279
gilbertoo_muniz,850
raio.desol,37
pupobarbershop,238
jessica_morais25,387
fabinho.levi5277,215
celio_gianini,290
subliimage,78
feliipeecostaa,110
bruno_nunes1998,632
aka.vitao,227
flavinhafernandes15,468
julie_rcp,2060
nogueirafdb,283
camila_ap.araujo,873
lilliann____,2217
leomoldero,241
raaaahc,2610
camila_kauan,457
arlindochapetta,2829
adegavv,793
viajeipostei,4014
saaferrarii,2198
muba297,422
paulorossi56,206
dan_hf,337
renatoshishido,1142
mestreludovico,658
valentinasdoces,52
turma2018fmu,7
edmundo.junior,644
_laririzzo,1363
lucaslimaoli,1024
marcio_bello,162
elciomorale,772
leosilvervdc,1144
brunna_nicoleti_,86
aplanapaulalindalopes,416
dridrika_santos,1784
novarroeduardo,1247
betinhu13,424
a.flores.g,136
luciana.matos.372,383
evair_lima,1025
esbocossoltos,109
camila_e__mauricio,597
sandrogianini,384
aninhacarolyne,644
hookah_session,162
midts_,1412
bruna334,948
aalinecanoalves,2912
joaomarco.silverarossi,230
silva.bra,243
hilaryfreyre,3420
mariseted,131
renatha_alves,578
kayquepirovani,184
raquelserpe,1017
novoaedson,541
david_cardona10,166
lisandragianini,485
bruna_viitorino,1397
bielsongz,443
brumilham,931
stefany.nunes26,106
_soaresle,829
quelprevidelli_,5202
robertocarlos2211,317
bbuscarati,6169
vera.barreto.372,201
caio_fr,589
bells_ashr,982
dea.veronica,324
mpzr99,107
rafaelah_magalhaes,1166
ritamello2011,292
takara_dm,646
elisangela.depaulabernardes,253
paixaopalestrina,630
moreninha_kaka,31
aflaviaolivb,378
deboraburin,1028
iesley,3438
daniellecavalcantiaraujo,293
higormolay,10259
alanamesquita_,258
marchiniguilherme,509
mayarafeniquiz,335
vitaopersonal13,942
lucasalmeidacobertino,257
danianninha,648
muller_eduardo1910,302
renatocesarsales,178
ni.res,563
tammyduran_,551
aryane_munhoz,1836
beatriiz_bbs,612
alessanndra27,957
viviane.fernandes.005,252
talita1983,549
patriciamelo1848816,586
rafamairinque,701
samysantos,76
_jeealmeeida,772
ramon_araujo02,877
monicacoimbra750,119
caaiovf,95
elainealencarmv,1112
jaquelindaa_s2,664
silvana_xu,134
marcosviniciuslemecabianca,220
jee_karoline23,318
tangegood,550
verando2,798
lpantano10,897
kellyjeniffer,1292
andrialindalima,803
andrefernandesdaluz7,366
lyviaperez,720
liane_c_p,203
priscilarh1,167
fernandagfarah,1043
mmgmarisa,60
abia.baeta,1216
brunasileikis,1078
pa_novoa,660
vicbarrilari,1076
chris_gbs,890
gustaavoo___,610
carolina.spadini,916
_caburgos,1145
taty_cribeiro,777
gabys2manuella,319
dramarianabarqueiro,12221
rogerdiasrfd,1154
mariocaieiro,98
guibm915,1511
raphaes,634
lukascapella,5184
rickllopes,2849
barbosa_elis,1772
danitpaiva,179
anyluizaa,755
carolineesouzza,153
joia.oficial,759
edmarbispo,610
