perfil_seguidores2,numero_seguidores2
thayna_empreendedora_digital,344
save_fotos1,57
freire_71,0
ggilvacardso,0
marcelcorno822,0
ospassavergonhaoficial,0
tata.7575,0
kinkardashi14,0
alyramalho,0
alice.braga2021,0
camilarodriguesfcg,0
eliz_abeth3107,0
rickza_21_quintana,0
ricardo90507,0
mariana_oli07,0
beatr.iz003,0
rxbert8,0
marisa.sobrancelhas,0
se_consagro,0
bellafloriano7,0
rendaextratodososdias,0
livros567,0
betiraina22,0
arthur_silva730,0
lobo.828,0
allice_collins__,0
vassbf,39
joelltellez,107
sonhonafolha,42
bruuniinhadasilva,374
vidalester12,128
combinacao.de_ff,46
evelynvieiraofci,103
mariele_rayza,57
isadora_.c5,108
_as.ana,95
mememe8025,10
miabraga69,198
gentea2,38
vanessalangris,138
jaan.ny,122
camundungo,50
felip1i,63
danicardosoo24,214
makeup.meninamulher,66
dinilinda123,41
laura8769198,45
jul.ia813,92
josemin2020,137
sant_ohelena,49
olive_ira200,25
dicasdecasa831,52
gargame1224,85
caio.sene,94
piet.rooq,86
drums21802,38
elpalopes,29
jorgejolelinho,62
svbrecho,437
nayaraoliveira32_1,108
catarinamaite9,50
casinhamaede2,58
andresapereira7,87
luizastenzel,83
laylla.tild,196
dean_winchestterr,71
ing_damares,118
luara__silvaa,167
faclubeda.flay,67
faclubedamila1,69
eduacav5,103
frasesdelivross1,33
camila.modaemcalcados,153
luciana.rizzi.39,714
mensageirodobem9,90
prisantosalmeida,86
raquelguedes68,74
jz229518juh,190
janeparli,107
wrathcharge,44
portudigital,162
beatzsoza,188
valeria_liima28,346
danielnunes25,173
heitordrez,72
theoriginals_10,42
frases_criativas44,80
felippe.juniorr,37
frases_fantasticas8,615
malum.artines,138
amanda55224,116
davi_silva449,63
sene_caio,0
jmhag_o,90
rery2080,42
jessesatury,71
marianolast10,56
dizupmw,38
ofc.isac,99
samy_evaristo,52
nayonxd,56
kon.ohamemesbr,72
rainhatiktok,54
jacintopintoaquinorego2021,121
oliviassantino,34
grilo_gatao,112
luzanir_silva03,330
tortas_smeus,48
rihnavybrazil,64
amorproprio5591,48
alineesantaana_,161
romaiderui,93
frifrass.1,66
frasesfranzinha,1081
jul.moura1,114
biankapereira6,51
ginnamix7,89
putod_onald,30
angelakaka200,62
sanlopes3,144
cleiton_terri,146
lala12rivera,1056
samelaamaya,79
luizfelipe00010,82
julia.dant23,44
ledianequeiroz07,108
pp2922841,70
mariadosocorro2619,122
realsuelenpacheco,77
nyvi_fc,36
brunonovx,71
denis.silva2020,26
anniel0pes,91
barbearia_p.r,45
t3ddy2356,68
laurinha3_33,59
cat_lovrs914,134
brunoo.girao,77
ferokalins,48
vinijr.22,47
zuzu_limaa,63
rosivaniamoreiradas,162
redt9006,51
myarttz,59
carlahallambergyzs,110
oliveiralorenadossantosde,154
faclubegis,54
deboraw009,53
joalissonjose_12,39
__sobreela,345
carl_acarlinhos,126
maria.nalva.reis,219
leoo01cha,226
lara.sil2021,74
nelha00,86
murosfalou,70
paulo.gtx,40
anab.elle877,119
renata9o,33
naiara.moledo,65
vanesamesth,82
robsonborgescarioca4,76
juliana_santukm,46
isinha.iza223,116
silvasilva3828,71
aninhabeatrizsales,61
alex_xmrs,66
elienay_evangelistaaa,1149
predo_antoin,74
erick123cristian,62
gislaine5504,183
monica_.mattos,349
isadoraferrer_,80
gabrielxavier772,64
zuzuzuzpetei,72
auxilioeme,113
youtubeadulto,198
laraahant8,86
volusexy,155
kaiooo_natos,104
patricia_ferreira.29,81
allanbreezy2,88
rianbakinha,65
catarinabeatriz8,156
marina95949,66
brucenish33,42
contasdizuoutra,51
cat_fofos_memes,151
traderdanuvem,90
karende.o,79
rodrigoofc39,182
dicas.penteadoss,86
isa.bellycorrea,142
marcias_santana0,75
slamann007,22
thamiris.g.s.m,79
welingtonn_ferreira,189
analu.isanalu,88
dielly48,89
fernandacutrim102,76
marcio.ferreira1991,87
sasori.1111,36
antonioth30,77
brunahh_1,670
nubialumia,96
alinee.s8,63
marcelinha_maatos,75
capitaamerica1999,55
reilucasalbert,181
decoracoespinterest_,98
agelicamaya,1183
sophiakukitu,76
ruana375,49
rafaelabezerra80,1008
nicol_e3894,77
cravocanelacachos,89
vemcomtudonamoda,229
bertoniart,589
golquadradocaucaia,64
vicmaria29,130
maxmarilu57,53
reginabp9,41
danieltainara190,86
rubenss_silvaaaa,142
gedsonlucaswpp,181
gabi_da_torcida,53
gabisg4bis,227
joaopietromiller86,93
kiara56999,52
caren.joias,76
oxe.mulherr,72
beadsby.la,35
supernostalgiasnes,655
lugar.es09,65
inspiracaodetatoos,82
altemirpeixoto,106
costakellycv,80
brooklyn99brasil5,31
abigail_ltr,18
beto.g10,84
debor_hg,48
shirley.aparecida.soares,83
lucas_motos.esportivas,23
frasescurtas0_,395
analuise58,64
fotostumblr9705,182
universeofmoda_,56
madalena0269,51
bluenfys,41
kirayoshima,75
sakunna_runa,62
lydyanah09,78
pmdelegado8,68
unhas_bonitas_online,129
djlilika,123
frozen_9105,51
paulo03629,58
milatr2,110
rawilucca,34
